,Month,DayOfWeek,Time,CarrierDelay
6790063,12,2,9,6.0
4876735,9,5,21,10.0
866551,2,5,7,15.0
2668086,5,1,20,8.0
4221159,7,4,7,18.0
3724136,7,5,7,127.0
6443660,11,5,13,80.0
4146465,7,4,6,21.0
3867060,7,2,17,62.0
4226324,7,2,17,192.0
3803702,7,3,17,40.0
2737400,5,5,23,10.0
327361,1,2,7,7.0
3235830,6,7,8,73.0
168794,1,4,20,30.0
711181,2,5,17,48.0
235695,1,2,7,48.0
1050385,2,2,8,9.0
4972386,9,6,8,20.0
3591225,6,1,19,36.0
638301,2,2,10,29.0
1570662,3,6,21,57.0
2965949,5,5,16,13.0
2901866,5,4,22,56.0
3128186,6,4,19,91.0
6530870,12,2,19,15.0
1410623,3,4,21,6.0
2663809,5,4,15,51.0
5436767,10,7,20,1.0
2263507,4,4,15,66.0
4803704,8,2,12,14.0
6963198,12,4,12,13.0
6261588,11,4,22,1.0
78578,1,7,16,9.0
3771141,7,1,7,18.0
2879072,5,5,18,24.0
1318171,3,6,18,21.0
3432835,6,5,12,73.0
2263138,4,7,17,44.0
130317,1,3,14,131.0
1766050,3,7,14,30.0
3138424,6,3,14,53.0
5415824,10,7,18,21.0
3900490,7,3,22,16.0
3868915,7,5,17,27.0
3151763,6,7,16,58.0
1297479,3,3,18,8.0
6958013,12,7,14,38.0
2517145,5,4,16,15.0
6534017,12,3,16,10.0
6422028,11,6,18,2.0
6709549,12,7,13,16.0
6516336,12,5,8,16.0
6044394,11,3,8,30.0
3497153,6,1,19,95.0
5631206,10,6,6,6.0
2562758,5,1,14,20.0
4427614,8,5,21,15.0
1896957,4,3,21,4.0
1926896,4,6,19,152.0
4823655,8,6,17,12.0
1384729,3,1,8,16.0
1288658,3,6,10,7.0
2239970,4,2,15,30.0
3769241,7,7,15,28.0
3771253,7,1,9,112.0
5111179,9,1,18,44.0
5691678,10,2,15,34.0
1356414,3,5,17,143.0
6600558,12,3,18,43.0
6471864,12,5,8,27.0
3302714,6,7,8,77.0
932661,2,2,10,2.0
4040078,7,4,20,15.0
6294676,11,6,7,13.0
4040193,7,2,9,7.0
6297292,11,3,14,5.0
584391,1,3,14,3.0
986129,2,4,13,10.0
3272740,6,7,13,11.0
6707905,12,5,9,2.0
3145274,6,5,7,18.0
3909087,7,3,22,14.0
408726,1,4,16,52.0
