,Month,DayOfWeek,Time,NASDelay
1257490,3,4,19,4.0
3220969,6,4,16,30.0
6320212,11,7,17,36.0
1485992,3,4,12,18.0
1573825,3,3,18,2.0
4410719,8,1,20,91.0
281070,1,7,15,18.0
5320619,9,4,12,16.0
4796584,8,7,21,4.0
2678023,5,2,21,3.0
347038,1,4,17,12.0
4479753,8,1,7,5.0
3104099,6,2,9,7.0
2039748,4,2,18,9.0
1612198,3,1,7,5.0
4797449,8,4,15,93.0
3975633,7,3,16,58.0
6427841,11,6,14,4.0
4213904,7,6,11,19.0
2668567,5,1,11,5.0
3930000,7,2,16,20.0
2169418,4,3,14,37.0
754929,2,3,17,100.0
2823701,5,3,13,10.0
432169,1,3,13,19.0
1132076,2,2,9,39.0
755259,2,3,17,94.0
331771,1,6,16,11.0
3112701,6,1,14,6.0
480041,1,5,15,118.0
4107493,7,3,18,40.0
3477948,6,1,17,30.0
3108792,6,1,9,3.0
6527282,12,1,11,20.0
1682759,3,2,9,126.0
778529,2,6,8,25.0
1941033,4,6,12,40.0
4464250,8,2,16,20.0
4782768,8,3,21,12.0
6222734,11,7,15,51.0
1678353,3,2,6,47.0
4212307,7,4,7,9.0
1028870,2,6,13,12.0
668801,2,5,8,4.0
3076887,6,5,15,73.0
1638439,3,1,11,27.0
2996116,6,2,20,17.0
6857746,12,3,8,19.0
717157,2,4,21,10.0
4055352,7,2,15,26.0
4797583,8,5,16,1.0
984409,2,5,8,25.0
4738072,8,4,18,9.0
2200880,4,2,16,29.0
1525591,3,7,20,47.0
597749,1,2,11,20.0
515516,1,6,17,18.0
4480240,8,4,22,16.0
4220043,7,4,6,34.0
6608244,12,5,14,20.0
6607888,12,5,17,69.0
3487082,6,1,8,28.0
291699,1,2,18,34.0
1582095,3,2,13,35.0
2010733,4,6,23,16.0
1078033,2,2,12,27.0
506804,1,4,14,3.0
4102597,7,2,18,31.0
5820361,10,1,6,22.0
3307822,6,4,17,54.0
1887869,4,2,7,48.0
1162378,2,1,12,33.0
525369,1,7,14,235.0
663457,2,3,17,10.0
4998042,9,3,16,23.0
2386288,4,2,12,1.0
1687703,3,5,7,18.0
4122386,7,4,15,7.0
5765000,10,1,12,45.0
2797108,5,5,16,57.0
608658,2,7,18,31.0
616850,2,3,12,9.0
5298239,9,4,12,19.0
3909850,7,3,11,3.0
2943289,5,4,16,70.0
1098643,2,2,21,11.0
1860681,4,4,21,5.0
3234861,6,3,19,49.0
257036,1,2,6,11.0
4487162,8,3,6,1.0
2545751,5,1,14,4.0
5161493,9,2,8,25.0
5347452,9,7,18,21.0
3258684,6,3,20,7.0
1424941,3,7,8,21.0
1093263,2,4,9,27.0
4227590,7,3,11,26.0
4638220,8,3,13,7.0
4104598,7,2,11,4.0
3320905,6,5,18,8.0
6638334,12,3,20,7.0
266337,1,2,9,21.0
1282334,3,5,15,3.0
1386609,3,2,10,42.0
4948424,9,4,11,58.0
4202866,7,4,15,118.0
458901,1,5,21,5.0
1127958,2,2,12,33.0
1536776,3,3,6,25.0
5235918,9,7,10,11.0
2885192,5,5,13,4.0
2686443,5,4,15,1.0
410962,1,3,19,16.0
1028134,2,3,21,38.0
5196142,9,4,17,21.0
4957648,9,4,11,21.0
3904672,7,6,20,13.0
3588400,6,6,18,52.0
2067009,4,6,10,22.0
918468,2,5,9,13.0
