,Month,DayOfWeek,Time,SecurityDelay
3564743,6,1,18,9.0
3908517,7,2,15,53.0
869406,2,1,8,30.0
1288621,3,6,17,9.0
4936288,9,2,17,9.0
591312,1,4,16,25.0
3206080,6,3,14,6.0
2572692,5,7,18,22.0
6529071,12,2,8,9.0
100472,1,7,21,27.0
671268,2,5,18,10.0
2967122,5,6,18,1.0
584898,1,5,19,28.0
75974,1,6,14,16.0
5620325,10,4,17,3.0
4207165,7,1,16,9.0
6052680,11,6,18,30.0
6580118,12,1,16,13.0
6859488,12,2,18,10.0
1755750,3,3,6,20.0
2468557,5,2,7,24.0
665706,2,4,21,3.0
1308915,3,7,21,19.0
4163522,7,4,9,29.0
6229085,11,6,6,1.0
1054514,2,7,17,24.0
2724193,5,5,12,5.0
3422742,6,7,12,16.0
1237172,3,5,12,7.0
611869,2,1,12,13.0
3902460,7,4,15,16.0
3092763,6,5,16,9.0
6946562,12,3,0,30.0
6529914,12,2,20,15.0
6544764,12,7,20,18.0
3887876,7,7,17,3.0
4809835,8,2,6,8.0
4775847,8,5,7,18.0
886070,2,5,13,11.0
1212879,3,5,13,5.0
3048251,6,3,18,6.0
5319548,9,2,13,7.0
4675465,8,1,8,49.0
4773565,8,7,16,21.0
3119056,6,6,15,25.0
119799,1,2,17,2.0
6520719,12,6,8,11.0
677331,2,7,11,1.0
1435053,3,6,8,55.0
3112724,6,7,15,34.0
3101441,6,6,18,23.0
2958492,5,4,15,12.0
5558884,10,1,6,21.0
6579606,12,1,17,4.0
479418,1,2,23,2.0
6591568,12,4,6,18.0
3699193,7,4,17,1.0
6963654,12,4,18,5.0
2520269,5,6,11,175.0
6528104,12,1,8,8.0
1753447,3,4,16,17.0
647299,2,5,19,16.0
4804930,8,4,13,9.0
24082,1,4,13,22.0
122346,1,4,15,15.0
300137,1,3,11,39.0
4191945,7,6,19,17.0
6096151,11,1,19,28.0
1277556,3,3,16,4.0
6719511,12,1,21,5.0
1216476,3,6,13,3.0
3901475,7,4,19,25.0
1134948,2,7,19,21.0
3574769,6,5,20,12.0
58,1,4,10,10.0
6963450,12,4,20,18.0
1009636,2,5,8,15.0
6618537,12,5,6,7.0
3713812,7,1,14,2.0
1279387,3,7,15,6.0
1766768,3,5,19,15.0
587021,1,4,7,13.0
886037,2,5,17,10.0
3828933,7,4,9,5.0
536927,1,3,20,23.0
5646518,10,5,18,26.0
4329260,8,5,9,17.0
4929293,9,7,18,4.0
3818362,7,4,5,15.0
3643159,7,1,19,21.0
112392,1,2,20,36.0
6245402,11,6,9,4.0
1895563,4,3,15,4.0
6565058,12,6,6,9.0
6589266,12,1,18,23.0
4909639,9,1,10,61.0
6400189,11,6,13,67.0
699938,2,7,18,10.0
4194770,7,5,7,121.0
3754960,7,4,19,29.0
4372018,8,2,6,15.0
129079,1,7,18,29.0
1896678,4,1,13,5.0
1242080,3,7,12,17.0
177861,1,7,19,136.0
1383689,3,7,6,44.0
1474270,3,6,17,12.0
5980670,11,6,7,7.0
802088,2,7,11,31.0
885807,2,5,21,9.0
7275,1,6,18,5.0
6051547,11,7,17,16.0
71606,1,5,12,88.0
4347849,8,4,19,15.0
3210905,6,6,7,21.0
102213,1,1,20,8.0
4766686,8,6,10,18.0
2067667,4,7,19,4.0
2055611,4,4,18,5.0
6532830,12,3,18,11.0
127406,1,7,19,8.0
6992362,12,3,17,5.0
4967589,9,6,17,18.0
62721,1,2,7,6.0
1728219,3,5,16,3.0
3759123,7,2,16,17.0
6537394,12,5,11,37.0
3046589,6,3,19,7.0
260617,1,5,6,13.0
1265926,3,7,12,7.0
1818834,4,5,17,7.0
765370,2,5,7,27.0
671040,2,5,7,8.0
1743248,3,1,19,18.0
5545695,10,4,13,2.0
260633,1,5,7,10.0
2346740,4,1,22,23.0
3256719,6,1,18,11.0
6970760,12,3,6,8.0
6854351,12,3,19,38.0
2683866,5,6,13,62.0
5232716,9,3,13,14.0
3126122,6,1,17,27.0
1920050,4,4,13,26.0
79636,1,7,15,4.0
4770096,8,7,7,11.0
6117445,11,2,12,37.0
3740328,7,4,6,33.0
2066537,4,6,9,18.0
6528405,12,1,7,17.0
1446741,3,6,18,19.0
1843707,4,6,15,8.0
4786384,8,2,6,16.0
4325135,8,6,8,10.0
1900410,4,1,19,21.0
2931257,5,4,20,21.0
6970727,12,3,10,14.0
6280488,11,7,13,1.0
3030509,6,5,15,15.0
2961623,5,2,11,12.0
1089540,2,5,15,8.0
2969039,5,4,19,7.0
6541636,12,6,16,6.0
1206730,3,3,7,18.0
5455573,10,5,14,8.0
5325905,9,4,9,16.0
883822,2,5,7,9.0
3112399,6,6,18,12.0
707814,2,4,19,8.0
1746980,3,4,7,10.0
6619020,12,6,6,29.0
5273498,9,2,20,28.0
3255613,6,7,13,45.0
3172574,6,4,6,3.0
1340075,3,6,9,15.0
6409459,11,3,17,7.0
1761454,3,3,19,6.0
1518854,3,5,6,12.0
3434528,6,6,6,34.0
1999324,4,2,18,32.0
1404821,3,6,8,48.0
1305801,3,6,18,28.0
119717,1,5,15,12.0
2365278,4,3,21,15.0
4406562,8,6,5,32.0
4813463,8,4,10,10.0
6489486,12,3,16,3.0
4770933,8,2,7,17.0
853667,2,2,7,1.0
4800108,8,2,19,23.0
