,Month,DayOfWeek,Time,WeatherDelay
6976515,12,3,7,53.0
194930,1,4,16,53.0
6604680,12,4,20,20.0
2509059,5,3,6,59.0
2812363,5,6,18,34.0
6562482,12,2,11,16.0
5674306,10,5,16,30.0
981150,2,2,15,24.0
6523803,12,7,21,31.0
6858136,12,2,6,6.0
3828956,7,4,18,283.0
3381385,6,4,15,40.0
2110227,4,5,19,144.0
484901,1,2,18,10.0
3944306,7,4,21,47.0
607506,2,7,15,16.0
3858288,7,3,9,8.0
1138837,2,4,19,8.0
695233,2,2,18,135.0
3387435,6,4,6,236.0
1330839,3,5,16,20.0
6937984,12,4,21,7.0
6275274,11,5,7,20.0
1953118,4,6,10,15.0
151580,1,3,14,120.0
1292464,3,1,11,6.0
5082898,9,2,9,144.0
4342956,8,5,15,142.0
4150770,7,4,11,10.0
3766870,7,2,10,12.0
1630468,3,6,18,59.0
6832691,12,6,9,13.0
3629884,7,4,20,27.0
6785215,12,1,7,11.0
1185797,3,4,15,284.0
153529,1,7,17,78.0
761154,2,6,12,2.0
841468,2,3,13,36.0
610150,2,1,16,3.0
128463,1,2,21,13.0
2952356,5,1,15,1.0
1533185,3,1,10,2.0
6610050,12,3,13,30.0
3425814,6,5,14,116.0
1096222,2,6,5,32.0
2551179,5,3,19,14.0
6523788,12,7,15,7.0
4363684,8,5,13,35.0
2121004,4,2,15,35.0
3494140,6,3,14,12.0
3433167,6,7,12,30.0
4236598,8,1,12,7.0
514824,1,4,20,15.0
2204501,4,1,10,26.0
3300135,6,5,13,15.0
6597938,12,6,11,319.0
759339,2,3,18,19.0
3387375,6,4,17,17.0
3939799,7,1,8,80.0
3958130,7,7,17,182.0
1677047,3,1,21,23.0
4352190,8,7,15,27.0
3942970,7,1,5,49.0
2830191,5,4,6,140.0
1081704,2,2,12,28.0
159435,1,2,10,36.0
3114518,6,2,20,3.0
6685429,12,6,13,120.0
3933585,7,4,19,48.0
3778445,7,4,13,115.0
4724731,8,2,18,33.0
5961422,11,7,20,10.0
3000398,6,3,19,6.0
4745430,8,5,20,18.0
6612094,12,7,19,55.0
3837455,7,6,12,19.0
6924469,12,3,15,17.0
2047257,4,5,17,11.0
3447223,6,3,22,8.0
5605595,10,5,20,10.0
1225280,3,2,19,7.0
3115077,6,3,15,323.0
2812965,5,5,13,100.0
6165478,11,3,18,42.0
2003053,4,4,14,35.0
5576883,10,7,21,3.0
3940514,7,7,21,91.0
2628107,5,6,14,59.0
1330802,3,5,12,25.0
2779547,5,2,18,3.0
1481603,3,7,17,3.0
1338645,3,4,12,95.0
518147,1,6,20,30.0
1375767,3,3,17,113.0
2777652,5,3,7,11.0
6875699,12,2,14,50.0
4814721,8,5,19,75.0
6513283,12,4,7,27.0
451856,1,4,12,9.0
177448,1,7,13,104.0
755184,2,3,16,22.0
4716889,8,4,18,7.0
6589704,12,1,12,102.0
4136621,7,3,13,139.0
2733959,5,7,16,1.0
6772526,12,2,21,6.0
1060763,2,5,18,6.0
4816307,8,4,8,14.0
6476321,12,6,13,14.0
3286997,6,4,22,66.0
1745957,3,7,21,23.0
6517131,12,5,8,45.0
4055457,7,5,21,31.0
6757536,12,3,7,99.0
112703,1,5,15,9.0
6080987,11,4,17,5.0
3432717,6,1,14,37.0
715950,2,4,13,42.0
3958905,7,7,16,168.0
6573809,12,2,17,21.0
3992948,7,4,14,34.0
520683,1,1,6,318.0
1288591,3,1,12,13.0
413809,1,3,14,32.0
3383335,6,3,19,24.0
3075436,6,4,11,16.0
174731,1,5,19,90.0
522710,1,5,16,7.0
4053789,7,6,18,69.0
4307788,8,1,16,41.0
5961184,11,7,13,66.0
1331196,3,5,11,64.0
5409899,10,5,13,8.0
6656511,12,6,7,44.0
3884209,7,4,20,124.0
5287557,9,7,10,4.0
3640547,7,7,18,43.0
253652,1,3,15,26.0
6686288,12,1,8,28.0
5492462,10,3,17,133.0
6983919,12,1,21,18.0
1570555,3,1,6,17.0
5206179,9,5,7,35.0
6571771,12,4,9,48.0
1748628,3,1,20,4.0
1602282,3,2,19,2.0
1601584,3,3,19,10.0
4746593,8,4,18,3.0
6203442,11,5,15,25.0
4579457,8,6,21,41.0
1329236,3,2,19,45.0
6752953,12,6,21,13.0
4200577,7,6,14,25.0
6952413,12,5,11,23.0
6088305,11,7,12,80.0
3927506,7,7,14,41.0
509692,1,2,8,6.0
1570721,3,3,18,14.0
403487,1,5,11,4.0
3161893,6,4,18,66.0
5237125,9,2,17,22.0
980836,2,2,18,79.0
5908395,10,3,19,24.0
6203201,11,5,21,15.0
413583,1,1,13,18.0
766192,2,5,8,57.0
6730757,12,1,14,7.0
1066497,2,2,7,16.0
3628953,7,4,6,14.0
630043,2,7,17,9.0
3554422,6,7,20,19.0
1078089,2,7,22,31.0
6978981,12,7,13,26.0
988789,2,1,14,17.0
5972962,11,3,17,19.0
3063187,6,1,14,34.0
2834594,5,5,14,41.0
1155008,2,3,6,9.0
1502960,3,6,14,71.0
1204720,3,2,10,20.0
3776815,7,7,17,241.0
1003676,2,3,18,1.0
4823089,8,5,20,6.0
2684719,5,4,10,5.0
3478222,6,2,20,57.0
4703411,8,5,11,12.0
6922728,12,1,12,9.0
3160478,6,1,17,40.0
3684348,7,6,18,41.0
6566367,12,4,13,50.0
5833052,10,5,20,8.0
3694856,7,3,15,17.0
408569,1,3,12,18.0
831071,2,7,18,86.0
5601566,10,6,18,7.0
6619640,12,6,9,16.0
3450968,6,5,19,113.0
1577760,3,1,16,34.0
4539142,8,7,6,14.0
6777525,12,5,19,56.0
6862098,12,3,13,17.0
3159209,6,6,16,33.0
4041198,7,2,19,67.0
6301304,11,7,16,14.0
3935271,7,2,16,165.0
742172,2,5,18,74.0
4108312,7,6,10,9.0
4751278,8,5,20,21.0
4199015,7,7,21,19.0
399741,1,2,19,41.0
2870496,5,1,16,7.0
6935145,12,7,17,20.0
6939471,12,6,18,50.0
2786220,5,2,17,236.0
3937331,7,4,17,20.0
5066842,9,3,18,43.0
6535400,12,4,18,4.0
3402950,6,7,11,21.0
2783202,5,1,15,11.0
1256732,3,4,18,2.0
4777095,8,1,18,7.0
3432533,6,4,19,9.0
3159749,6,7,17,123.0
6916997,12,6,18,8.0
3497411,6,1,11,6.0
3657860,7,5,15,15.0
168186,1,3,18,15.0
6536809,12,4,18,40.0
2733523,5,5,11,3.0
1696549,3,6,16,19.0
6750163,12,3,7,17.0
305114,1,4,16,100.0
2957838,5,3,13,6.0
2823870,5,5,8,18.0
1743927,3,4,19,25.0
3242680,6,3,17,75.0
6568526,12,2,19,7.0
3118834,6,7,21,42.0
1590211,3,5,8,11.0
4788169,8,6,17,67.0
253826,1,6,17,75.0
914510,2,2,17,201.0
1957482,4,4,7,15.0
3621277,7,2,14,6.0
104540,1,4,7,4.0
3765542,7,2,10,136.0
304275,1,3,22,120.0
6155623,11,7,12,42.0
6882004,12,5,13,7.0
2703083,5,2,20,102.0
6466310,12,3,18,13.0
161014,1,5,18,57.0
757745,2,1,15,199.0
2895752,5,2,20,80.0
3773526,7,3,12,21.0
6239677,11,5,8,4.0
4278513,8,6,10,4.0
3149494,6,3,15,269.0
3342669,6,6,15,2.0
4236978,8,1,7,76.0
1920894,4,5,17,56.0
1225647,3,2,14,12.0
1199365,3,1,7,94.0
4412397,8,2,15,97.0
6840086,12,3,10,14.0
6844087,12,3,17,12.0
